No,NaptanCode,CommonName
702,73726956,The Knapp
703,73726954,The Knapp
704,73726535,Church Hall
705,73726587,Church Hall
706,73725695,Railway Station
707,73725953,Village Shop
708,73725783,House of Bruar
709,73726369,Post Box
710,73726372,Post Box
711,73725975,Old School
712,73725976,Old School
713,73727962,Post Office
714,73727963,Inverack
715,73726348,Road End
716,73726929,Lodge
717,73726392,Old Station
718,73723692,Post Office
719,73726394,Telephone Box
720,73726393,Telephone Box
721,73726435,War Memorial
722,73726395,Post Office
723,73726396,Post Office
724,73726397,Meggernie Castle
725,73726423,Gallin
726,73726285,Road End
727,73726284,Power Station
728,73723683,Tesco
729,73723684,Tesco
730,73723689,Tesco
731,73727656,DEL-Perth Mart
732,73726973,Forglen
733,73726972,Forglen
734,73726975,Skelton Road
735,73726974,Skelton Road
736,73738529,Sauchie Road
737,73723723,Lawgrove Place
738,73723682,McDiarmid Park
739,73725294,McDiarmid Park
740,73723695,Crieff Road
741,73725267,Crieff Road
742,73724546,Unity Terrace
743,73723674,Unity Terrace
744,73724528,Royal Bank of Scotland
745,73724854,Royal Bank of Scotland
746,73724848,Retail Park
747,73724234,Barrack Street
748,73723645,High Street
749,73723642,High Street
750,73723648,High Street
751,73724865,Fairfield
752,73724363,Fairfield
753,73724953,Bruce Crescent
754,73724379,Bruce Crescent
755,73724247,Tulloch Terrace
756,73724253,Tulloch Terrace
757,73725279,Primary School
758,73723436,Primary School
759,73724389,Sandeman Court
760,73724923,Sandeman Court
761,73724239,Newton Place
762,73723967,Newton Place
763,73723978,Alma Avenue
764,73724343,Pullar Terrace
765,73725239,Pullar Terrace
766,73724696,Primrose Crescent
767,73723459,Garth Avenue
768,73725297,Milton Road
769,73723968,Newton House
770,73723656,High Street
771,73723457,Garth Avenue
772,73725324,Strathtay Road
773,73723453,Strathtay Road
774,73725325,Fortingall Place
775,73762582,Primary School
776,73725328,Appin Terrace
777,73723274,Primary School
778,73725283,Primary School
779,73723256,Our Ladys Primary School
780,73725274,Our Ladys Primary School
781,73723252,Struan Road
